timeOpen;timeClose;timeHigh;timeLow;open;high;low;close;volume;marketCap;timestamp
"2023-09-01T00:00:00.000Z";"2023-09-30T23:59:59.999Z";"2023-09-28T16:07:00.000Z";"2023-09-11T19:40:00.000Z";207.4923639126;244.4618986555;181.3789425136;234.3510410168;5796753221.88;4574340445.74;"2023-09-30T23:59:59.999Z"
"2023-08-01T00:00:00.000Z";"2023-08-31T23:59:59.999Z";"2023-08-01T00:58:00.000Z";"2023-08-17T21:46:00.000Z";248.1859633262;248.4291319544;173.4286537754;207.4877812778;7787895283.89;4044316819.11;"2023-08-31T23:59:59.999Z"
"2023-07-01T00:00:00.000Z";"2023-07-31T23:59:59.999Z";"2023-07-01T00:31:00.000Z";"2023-07-18T12:34:00.000Z";305.0053120516;307.9686185693;232.7616192802;248.1854557526;15970351102.16;4830673954.98;"2023-07-31T23:59:59.999Z"
"2023-06-01T00:00:00.000Z";"2023-06-30T23:59:59.999Z";"2023-06-30T17:07:00.000Z";"2023-06-10T04:31:00.000Z";113.2641726129;326.1219029365;95.7754762856;305.0069543167;14191442225.81;5928233354.3;"2023-06-30T23:59:59.999Z"
"2023-05-01T00:00:00.000Z";"2023-05-31T23:59:59.999Z";"2023-05-09T11:25:00.000Z";"2023-05-08T18:15:00.000Z";118.2010163373;123.1294809018;109.0289856427;113.2657217399;2994940162.1;2198151401.36;"2023-05-31T23:59:59.999Z"
"2023-04-01T00:00:00.000Z";"2023-04-30T23:59:59.999Z";"2023-04-16T19:37:00.000Z";"2023-04-26T20:04:00.000Z";123.9966553106;135.9740998817;113.5639136714;118.2165739676;92003172.54;2290917509.22;"2023-04-30T23:59:59.999Z"
"2023-03-01T00:00:00.000Z";"2023-03-31T23:59:59.999Z";"2023-03-20T01:25:00.000Z";"2023-03-10T10:43:00.000Z";131.9423796293;138.4007777909;105.8486708465;124.0087906891;115946660.08;2399831293.36;"2023-03-31T23:59:59.999Z"
"2023-02-01T00:00:00.000Z";"2023-02-28T23:59:59.999Z";"2023-02-21T08:07:00.000Z";"2023-02-13T10:26:00.000Z";133.3712113656;152.7127799752;120.5665470536;131.9374991382;190165456.13;2549657537.26;"2023-02-28T23:59:59.999Z"
"2023-01-01T00:00:00.000Z";"2023-01-31T23:59:59.999Z";"2023-01-29T19:49:00.000Z";"2023-01-02T02:12:00.000Z";97.0744841565;137.9931739833;95.8727813784;133.3967307186;186997808.03;2574471862.46;"2023-01-31T23:59:59.999Z"
"2022-12-01T00:00:00.000Z";"2022-12-31T23:59:59.999Z";"2022-12-05T08:02:00.000Z";"2022-12-30T11:22:00.000Z";113.3904572763;116.640498003;95.7298074345;97.0721441257;99844577.13;1870702164.19;"2022-12-31T23:59:59.999Z"
"2022-11-01T00:00:00.000Z";"2022-11-30T23:59:59.999Z";"2022-11-05T16:34:00.000Z";"2022-11-09T23:38:00.000Z";115.1114425211;125.3879099908;88.2863882797;113.3907250487;188335841.7;2182057095.63;"2022-11-30T23:59:59.999Z"
"2022-10-01T00:00:00.000Z";"2022-10-31T23:59:59.999Z";"2022-10-06T00:56:00.000Z";"2022-10-13T10:47:00.000Z";120.0221708501;123.5067840768;103.0909502278;115.1099499436;444780234.65;2211990208.85;"2022-10-31T23:59:59.999Z"
"2022-09-01T00:00:00.000Z";"2022-09-30T23:59:59.999Z";"2022-09-09T12:40:00.000Z";"2022-09-19T09:37:00.000Z";115.3430310229;138.0015846951;107.2018168451;120.0402967476;363557308.08;2303368475.84;"2022-09-30T23:59:59.999Z"
"2022-08-01T00:00:00.000Z";"2022-08-31T23:59:59.999Z";"2022-08-11T14:16:00.000Z";"2022-08-20T21:06:00.000Z";139.9681984196;148.0274448578;112.3181555275;115.3424099017;206762051.99;2210077357.91;"2022-08-31T23:59:59.999Z"
"2022-07-01T00:00:00.000Z";"2022-07-31T23:59:59.999Z";"2022-07-29T10:07:00.000Z";"2022-07-13T13:34:00.000Z";102.814542201;163.6016243605;96.0047645297;139.9859703865;417358573.21;2678355071.06;"2022-07-31T23:59:59.999Z"
"2022-06-01T00:00:00.000Z";"2022-06-30T23:59:59.999Z";"2022-06-01T00:58:00.000Z";"2022-06-30T13:46:00.000Z";203.7167234305;208.0984083415;98.288017728;102.7347819486;1053256060.82;1962737735.65;"2022-06-30T23:59:59.999Z"
"2022-05-01T00:00:00.000Z";"2022-05-31T23:59:59.999Z";"2022-05-05T03:03:00.000Z";"2022-05-12T07:19:00.000Z";278.5876096161;302.2405974785;160.0670318366;203.6567093542;2833067479.22;3885441618.04;"2022-05-31T23:59:59.999Z"
