timeOpen;timeClose;timeHigh;timeLow;open;high;low;close;volume;marketCap;timestamp
"2023-09-01T00:00:00.000Z";"2023-09-30T23:59:59.999Z";"2023-09-01T00:49:00.000Z";"2023-09-11T19:40:00.000Z";0.5871243459;0.5926216058;0.5291395525;0.5825650222;1996138865.79;643244030.31;"2023-09-30T23:59:59.999Z"
"2023-08-01T00:00:00.000Z";"2023-08-31T23:59:59.999Z";"2023-08-02T01:36:00.000Z";"2023-08-17T21:47:00.000Z";0.746141868;0.7542848115;0.5397018376;0.5870610838;2921725853.65;646542889.42;"2023-08-31T23:59:59.999Z"
"2023-07-01T00:00:00.000Z";"2023-07-31T23:59:59.999Z";"2023-07-14T15:25:00.000Z";"2023-07-07T00:04:00.000Z";0.7508242135;0.8300469444;0.6985120502;0.7461691383;3766512149.4;819584344.33;"2023-07-31T23:59:59.999Z"
"2023-06-01T00:00:00.000Z";"2023-06-30T23:59:59.999Z";"2023-06-04T22:28:00.000Z";"2023-06-20T14:31:00.000Z";0.8915731239;0.9256841608;0.6053237358;0.7508039689;4438691179.61;822479546.25;"2023-06-30T23:59:59.999Z"
"2023-05-01T00:00:00.000Z";"2023-05-31T23:59:59.999Z";"2023-05-06T02:59:00.000Z";"2023-05-25T01:31:00.000Z";1.0253189729;1.0374494042;0.8232606868;0.8915556772;2893439714.53;974151104.25;"2023-05-31T23:59:59.999Z"
"2023-04-01T00:00:00.000Z";"2023-04-30T23:59:59.999Z";"2023-04-14T04:37:00.000Z";"2023-04-26T20:04:00.000Z";1.1948519967;1.2945110592;0.9847584916;1.0255380789;3941394900.54;1117563728.65;"2023-04-30T23:59:59.999Z"
"2023-03-01T00:00:00.000Z";"2023-03-31T23:59:59.999Z";"2023-03-03T23:46:00.000Z";"2023-03-12T16:04:00.000Z";1.1478269965;1.3345728795;0.9695697733;1.1948623355;6395911587.92;1298723030.89;"2023-03-31T23:59:59.999Z"
"2023-02-01T00:00:00.000Z";"2023-02-28T23:59:59.999Z";"2023-02-19T13:52:00.000Z";"2023-02-13T17:46:00.000Z";1.0632752763;1.3058038332;1.0070338388;1.147955982;4725631941.75;1241243184.41;"2023-02-28T23:59:59.999Z"
"2023-01-01T00:00:00.000Z";"2023-01-31T23:59:59.999Z";"2023-01-30T01:16:00.000Z";"2023-01-01T05:26:00.000Z";0.8623084165;1.1354785269;0.8576814416;1.0633170695;3455022435.61;1149726196.94;"2023-01-31T23:59:59.999Z"
"2022-12-01T00:00:00.000Z";"2022-12-31T23:59:59.999Z";"2022-12-09T12:55:00.000Z";"2022-12-19T22:37:00.000Z";0.949844836;1.0543044242;0.8413887166;0.8623088007;3290307644.66;930034207.59;"2022-12-31T23:59:59.999Z"
"2022-11-01T00:00:00.000Z";"2022-11-30T23:59:59.999Z";"2022-11-05T15:55:00.000Z";"2022-11-09T23:38:00.000Z";1.1498516651;1.212992884;0.8060311951;0.9499309149;5872553460.43;1021806489.7;"2022-11-30T23:59:59.999Z"
"2022-10-01T00:00:00.000Z";"2022-10-31T23:59:59.999Z";"2022-10-01T16:34:00.000Z";"2022-10-13T10:37:00.000Z";1.1817555739;1.2262556264;0.9492303046;1.1499786653;5440036845.2;1155355602.98;"2022-10-31T23:59:59.999Z"
"2022-09-01T00:00:00.000Z";"2022-09-30T23:59:59.999Z";"2022-09-10T13:10:00.000Z";"2022-09-28T02:38:00.000Z";1.3730776633;1.8563585202;1.1081910721;1.1817162195;11846868071.81;1184065010.8;"2022-09-30T23:59:59.999Z"
"2022-08-01T00:00:00.000Z";"2022-08-31T23:59:59.999Z";"2022-08-22T20:52:00.000Z";"2022-08-10T00:43:00.000Z";1.3333200769;1.8899104831;1.1545679863;1.3727914542;13719097224.49;1371952243.59;"2022-08-31T23:59:59.999Z"
"2022-07-01T00:00:00.000Z";"2022-07-31T23:59:59.999Z";"2022-07-31T15:02:00.000Z";"2022-07-13T13:34:00.000Z";0.9233433841;1.4350860969;0.8921536643;1.3332615621;7402893492.09;1327804493.96;"2022-07-31T23:59:59.999Z"
"2022-06-01T00:00:00.000Z";"2022-06-30T23:59:59.999Z";"2022-06-01T01:00:00.000Z";"2022-06-18T20:13:00.000Z";1.3801143185;1.4011908164;0.8232318564;0.9226141461;8158180198.52;916380037.41;"2022-06-30T23:59:59.999Z"
"2022-05-01T00:00:00.000Z";"2022-05-31T23:59:59.999Z";"2022-05-05T00:11:00.000Z";"2022-05-12T07:20:00.000Z";2.015572533;2.2443458879;1.1327414627;1.3801918457;12893675796.98;1367661880.65;"2022-05-31T23:59:59.999Z"
"2022-04-01T00:00:00.000Z";"2022-04-30T23:59:59.999Z";"2022-04-02T04:55:00.000Z";"2022-04-30T23:13:00.000Z";2.8221381605;2.9240451185;1.9633996327;2.0155585366;15797197014.25;1991908026.29;"2022-04-30T23:59:59.999Z"
"2022-03-01T00:00:00.000Z";"2022-03-31T23:59:59.999Z";"2022-03-28T06:38:00.000Z";"2022-03-07T20:05:00.000Z";2.2796777336;3.1437208044;1.8838161304;2.8212503994;13955808626.74;2780910319.44;"2022-03-31T23:59:59.999Z"
"2022-02-01T00:00:00.000Z";"2022-02-28T23:59:59.999Z";"2022-02-08T00:47:00.000Z";"2022-02-24T07:37:00.000Z";2.3416222794;2.7572075152;1.8693616011;2.2793954857;9839818275.54;2237678495.67;"2022-02-28T23:59:59.999Z"
"2022-01-01T00:00:00.000Z";"2022-01-31T23:59:59.999Z";"2022-01-02T21:00:00.000Z";"2022-01-24T14:11:00.000Z";3.036252311;3.2655890487;2.0018052996;2.3420172454;13198614900.76;2293575785.64;"2022-01-31T23:59:59.999Z"
"2021-12-01T00:00:00.000Z";"2021-12-31T23:59:59.999Z";"2021-12-03T10:02:08.000Z";"2021-12-04T05:28:08.000Z";4.0027925146;4.1611114513;2.459099329;3.0359241292;28123549022.56;2965000799.56;"2021-12-31T23:59:59.999Z"
"2021-11-01T00:00:00.000Z";"2021-11-30T23:59:59.999Z";"2021-11-09T16:38:08.000Z";"2021-11-28T18:43:09.000Z";4.6386245402;5.3706977411;3.7034557598;4.0070150805;30681934063.32;3897433933.2;"2021-11-30T23:59:59.999Z"
"2021-10-01T00:00:00.000Z";"2021-10-31T23:59:59.999Z";"2021-10-24T10:32:07.000Z";"2021-10-01T02:51:07.000Z";3.9385067337;5.0852264376;3.9118950416;4.632668073;36904981668.18;4457183750.52;"2021-10-31T23:59:59.999Z"
"2021-09-01T00:00:00.000Z";"2021-09-30T23:59:59.999Z";"2021-09-06T11:00:11.000Z";"2021-09-29T00:21:09.000Z";5.03578092;6.39228088;3.6419773002;3.931303592;56278401361.63;3772124927.21;"2021-09-30T23:59:59.999Z"
"2021-08-01T00:00:00.000Z";"2021-08-31T23:59:59.999Z";"2021-08-16T00:18:06.000Z";"2021-08-01T23:29:10.000Z";4.07372134;5.92390296;3.8739437;5.04205458;48945926033.38;4824781439.62;"2021-08-31T23:59:59.999Z"
"2021-07-01T00:00:00.000Z";"2021-07-31T23:59:59.999Z";"2021-07-10T00:19:08.000Z";"2021-07-20T03:35:06.000Z";4.13634987;4.41393851;3.16270834;4.08874547;32921613952.01;3907462245.48;"2021-07-31T23:59:59.999Z"
"2021-06-01T00:00:00.000Z";"2021-06-30T23:59:59.999Z";"2021-06-01T00:04:19.000Z";"2021-06-22T13:55:07.000Z";6.63598422;6.75062671;3.06221658;4.13584201;42317978858.44;3948856019.87;"2021-06-30T23:59:59.999Z"
"2021-05-01T00:00:00.000Z";"2021-05-31T23:59:59.999Z";"2021-05-12T00:13:06.000Z";"2021-05-23T16:44:07.000Z";6.44537608;14.87648633;3.60281623;6.64687625;210639620342.63;6340192488.34;"2021-05-31T23:59:59.999Z"
"2021-04-01T00:00:00.000Z";"2021-04-30T23:59:59.999Z";"2021-04-17T08:44:08.000Z";"2021-04-23T02:26:08.000Z";4.81480925;8.83453757;4.56160017;6.44322701;131307445643.77;6140314670.99;"2021-04-30T23:59:59.999Z"
"2021-03-01T00:00:00.000Z";"2021-03-31T23:59:59.999Z";"2021-03-31T22:52:08.000Z";"2021-03-01T00:00:10.000Z";3.46547341;4.89824099;3.46547341;4.81330505;70256421459.68;4582962333.25;"2021-03-31T23:59:59.999Z"
"2021-02-01T00:00:00.000Z";"2021-02-28T23:59:59.999Z";"2021-02-14T00:52:07.000Z";"2021-02-01T14:16:07.000Z";2.91606343;5.55897682;2.91577011;3.46425413;144314379484.16;3294294093.03;"2021-02-28T23:59:59.999Z"
"2021-01-01T00:00:00.000Z";"2021-01-31T23:59:59.999Z";"2021-01-10T08:14:07.000Z";"2021-01-11T16:39:07.000Z";2.59749402;3.92291987;2.41133288;2.91448315;196157068984.81;2769206402.13;"2021-01-31T23:59:59.999Z"
"2020-12-01T00:00:00.000Z";"2020-12-31T23:59:59.999Z";"2020-12-01T00:31:06.000Z";"2020-12-23T22:28:06.000Z";3.25937088;3.33575974;2.03410278;2.59797698;87035687936.45;2439720346.73;"2020-12-31T23:59:59.999Z"
"2020-11-01T00:00:00.000Z";"2020-11-30T23:59:59.999Z";"2020-11-25T16:20:08.000Z";"2020-11-03T03:36:07.000Z";2.52105032;3.83999612;2.26608854;3.25918455;95371433037.02;3057816919.46;"2020-11-30T23:59:59.999Z"
"2020-10-01T00:00:00.000Z";"2020-10-31T23:59:59.999Z";"2020-10-06T16:16:30.000Z";"2020-10-02T13:35:33.000Z";2.58765924;2.90789415;2.44780696;2.52105046;68574494472.7;2363171247.86;"2020-10-31T23:59:59.999Z"
"2020-09-01T00:00:00.000Z";"2020-09-30T23:59:59.999Z";"2020-09-01T22:18:16.000Z";"2020-09-23T20:59:30.000Z";2.97601362;3.54582343;2.41810844;2.58652946;88415536208.93;2422275931.81;"2020-09-30T23:59:59.999Z"
"2020-08-01T00:00:00.000Z";"2020-08-31T23:59:59.999Z";"2020-08-16T15:56:06.000Z";"2020-08-29T10:57:29.000Z";2.94127239;3.86570351;0.02917915;2.98274307;66742980592.06;2790826756.63;"2020-08-31T23:59:59.999Z"
"2020-07-01T00:00:00.000Z";"2020-07-31T23:59:59.999Z";"2020-07-29T08:09:02.000Z";"2020-07-02T16:42:16.000Z";2.3569014627;3.1352575502;2.3220200921;3.0917196846;1924546686.41;2890156382.44;"2020-07-31T23:59:59.999Z"
"2020-06-01T00:00:00.000Z";"2020-06-30T23:59:59.999Z";"2020-06-02T11:30:02.000Z";"2020-06-27T19:56:05.000Z";2.6688406971;2.8939217821;2.2791116888;2.3581393397;931091007.28;2202361409.77;"2020-06-30T23:59:59.999Z"
"2020-05-01T00:00:00.000Z";"2020-05-31T23:59:59.999Z";"2020-05-03T01:05:01.000Z";"2020-05-11T18:24:01.000Z";2.8342509573;3.0003780514;2.3176873621;2.6701898325;2161363681.06;2491563530.52;"2020-05-31T23:59:59.999Z"
"2020-04-01T00:00:00.000Z";"2020-04-30T23:59:59.999Z";"2020-04-30T05:36:01.000Z";"2020-04-01T16:56:03.000Z";2.2185177671;3.1037813656;2.1738930715;2.8333740401;5827201785.67;2613048283.7;"2020-04-30T23:59:59.999Z"
"2020-03-01T00:00:00.000Z";"2020-03-31T23:59:59.999Z";"2020-03-06T11:58:01.000Z";"2020-03-13T02:24:01.000Z";3.5395936883;3.8498966039;1.4631877458;2.2231941907;2348375946.21;2048458691.91;"2020-03-31T23:59:59.999Z"
"2020-02-01T00:00:00.000Z";"2020-02-29T23:59:59.999Z";"2020-02-13T03:14:03.000Z";"2020-02-28T12:39:01.000Z";4.1454979051;5.4755699329;3.4078329936;3.5425853782;3457926541.49;3261098547.95;"2020-02-29T23:59:59.999Z"
"2020-01-01T00:00:00.000Z";"2020-01-31T23:59:59.999Z";"2020-01-30T23:05:01.000Z";"2020-01-03T02:01:02.000Z";2.579903841;4.3908581332;2.4476913185;4.1386871557;3713840781.25;3936220903.57;"2020-01-31T23:59:59.999Z"
"2019-12-01T00:00:00.000Z";"2019-12-31T23:59:59.999Z";"2019-12-01T14:08:05.000Z";"2019-12-17T21:31:01.000Z";2.7567673797;2.8352428103;2.1727638221;2.5806856563;1560847336.57;2443242001.68;"2019-12-31T23:59:59.999Z"
